projectDescriptionID,trapVisitID,visitTime,visitTime2,siteName,subSiteName,visitType,fishProcessed,trapFunctioning,counterAtStart,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,includeCatch,discharge,waterVel,waterTemp,lightPenetration,turbidity,dissolvedOxygen,conductivity
9,8485,2005-02-01T11:00:37Z,2005-02-01T11:00:37Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,,,3.29999995231628,3.40000009536743,Yes,,,11.0,0.800000011920929,25.0,,
9,8484,2005-02-01T11:15:13Z,2005-02-01T11:15:13Z,Knights Landing RST,8.4,Continue trapping,Processed fish,Trap functioning normally,,3497.0,3.90000009536743,0.0,Yes,,,,,,,
9,8486,2005-02-02T10:15:57Z,2005-02-02T10:15:57Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Not recorded,,5003.0,4.19999980926514,3.40000009536743,Yes,,2.97000002861023,9.39999961853027,0.899999976158142,21.3999996185303,,
9,8487,2005-02-02T10:30:23Z,2005-02-02T10:30:23Z,Knights Landing RST,8.4,Continue trapping,Processed fish,Trap functioning normally,,5211.0,4.19999980926514,4.0,Yes,,,,,,,
9,4217,2006-10-02T09:30:00Z,2006-10-02T09:30:00Z,Knights Landing RST,8.4,Start trap & begin trapping,N/A; not a sampling visit,Trap functioning normally,,,,3.20000004768372,Yes,,,,,,,
9,4216,2006-10-02T09:30:00Z,2006-10-02T09:30:00Z,Knights Landing RST,8.3,Start trap & begin trapping,N/A; not a sampling visit,Trap functioning normally,,,,3.09999990463257,Yes,,,,,,,
9,4204,2006-10-06T09:30:00Z,2006-10-06T09:30:00Z,Knights Landing RST,8.4,Continue trapping,Processed fish,Trap functioning normally,,14057.0,3.29999995231628,3.29999995231628,Yes,7710.0,2.20000004768372,61.0,,6.26000022888184,,
9,4205,2006-10-06T09:30:00Z,2006-10-06T09:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,,20715.0,3.20000004768372,3.20000004768372,Yes,7710.0,2.27999997138977,61.0,,6.26000022888184,,
9,4206,2006-10-10T08:30:00Z,2006-10-10T08:30:00Z,Knights Landing RST,8.4,Continue trapping,Processed fish,Trap functioning normally,,18999.0,3.29999995231628,3.29999995231628,Yes,7360.0,2.14000010490417,61.0,2.40000009536743,6.90000009536743,,
9,4207,2006-10-10T08:30:00Z,2006-10-10T08:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,,32404.0,3.0,3.09999990463257,Yes,7360.0,2.1800000667572,61.0,2.40000009536743,6.90000009536743,,
